"player","birthDate","height","position"
"http://dbpedia.org/resource/Alan_Shearer",1970-08-13,"183.0","http://dbpedia.org/resource/Forward_(association_football)"
"http://dbpedia.org/resource/Alan_Shearer","1970-8-13","183.0","http://dbpedia.org/resource/Forward_(association_football)"
"http://dbpedia.org/resource/Dennis_Bergkamp",1969-05-10,"183.0","http://dbpedia.org/resource/Forward_(association_football)"
"http://dbpedia.org/resource/Dennis_Bergkamp","1969-5-10","183.0","http://dbpedia.org/resource/Forward_(association_football)"
"http://dbpedia.org/resource/Enzo_Scifo",1966-02-19,"178.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Enzo_Scifo","1966-2-19","178.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Fabien_Barthez",1971-06-28,"183.0","http://dbpedia.org/resource/Goalkeeper_(association_football)"
"http://dbpedia.org/resource/Fabien_Barthez","1971-6-28","183.0","http://dbpedia.org/resource/Goalkeeper_(association_football)"
"http://dbpedia.org/resource/Peter_Bonetti",1941-09-27,"177.0","http://dbpedia.org/resource/Goalkeeper_(association_football)"
"http://dbpedia.org/resource/Peter_Bonetti","1941-9-27","177.0","http://dbpedia.org/resource/Goalkeeper_(association_football)"
"http://dbpedia.org/resource/Adam_Collin",1984-12-09,"195.57999999999998","http://dbpedia.org/resource/Goalkeeper_(association_football)"
"http://dbpedia.org/resource/Adam_Collin","1984-12-9","195.57999999999998","http://dbpedia.org/resource/Goalkeeper_(association_football)"
"http://dbpedia.org/resource/Adam_Powell_(rugby_union)",1987-01-01,"180.0","http://dbpedia.org/resource/Rugby_union_positions"
"http://dbpedia.org/resource/Adam_Powell_(rugby_union)","1987-1-1","180.0","http://dbpedia.org/resource/Rugby_union_positions"
"http://dbpedia.org/resource/Adrián_Horváth",1987-11-20,"183.0","http://dbpedia.org/resource/Midfielder_(association_football)"
"http://dbpedia.org/resource/Ahmed_Touré",1987-07-17,"187.0","http://dbpedia.org/resource/Forward_(association_football)"
"http://dbpedia.org/resource/Ahmed_Touré","1987-7-17","187.0","http://dbpedia.org/resource/Forward_(association_football)"
"http://dbpedia.org/resource/Alberto_Soto",1990-01-18,"173.0","http://dbpedia.org/resource/Defender_(association_football)"
"http://dbpedia.org/resource/Alberto_Soto","1990-1-18","173.0","http://dbpedia.org/resource/Defender_(association_football)"
"http://dbpedia.org/resource/Aleksandr_Smirnov_(footballer,_born_1980)",1980-07-21,"182.0","http://dbpedia.org/resource/Defender_(football)"
"http://dbpedia.org/resource/Aleksandr_Smirnov_(footballer,_born_1980)","1980-7-21","182.0","http://dbpedia.org/resource/Defender_(football)"
"http://dbpedia.org/resource/Aleksandr_Smirnov_(footballer,_born_1982)",1982-06-06,"183.0","http://dbpedia.org/resource/Defender_(football)"
"http://dbpedia.org/resource/Aleksandr_Smirnov_(footballer,_born_1982)",1982-06-06,"183.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Aleksandr_Smirnov_(footballer,_born_1982)","1982-6-6","183.0","http://dbpedia.org/resource/Defender_(football)"
"http://dbpedia.org/resource/Aleksandr_Smirnov_(footballer,_born_1982)","1982-6-6","183.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Aleksandr_Smirnov_(footballer,_born_1991)",1991-05-03,"187.0","http://dbpedia.org/resource/Defender_(football)"
"http://dbpedia.org/resource/Aleksandr_Smirnov_(footballer,_born_1991)","1991-5-3","187.0","http://dbpedia.org/resource/Defender_(football)"
"http://dbpedia.org/resource/Aleksandr_Smirnov_(footballer,_born_1996)",1996-04-12,"177.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Aleksandr_Smirnov_(footballer,_born_1996)","1996-4-12","177.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Alex_Smith_(footballer,_born_1976)",1976-02-15,"172.72","http://dbpedia.org/resource/Defender_(association_football)"
"http://dbpedia.org/resource/Alex_Smith_(footballer,_born_1976)",1976-02-15,"172.72","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Alex_Smith_(footballer,_born_1976)","1976-2-15","172.72","http://dbpedia.org/resource/Defender_(association_football)"
"http://dbpedia.org/resource/Alex_Smith_(footballer,_born_1976)","1976-2-15","172.72","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Alex_Smith_(footballer,_born_1985)",1985-07-16,"182.0","http://dbpedia.org/resource/Central_Midfielder"
"http://dbpedia.org/resource/Alex_Smith_(footballer,_born_1985)","1985-7-16","182.0","http://dbpedia.org/resource/Central_Midfielder"
"http://dbpedia.org/resource/Alex_Smith_(footballer,_born_1991)",1991-10-31,"177.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Almamy_Touré",1996-04-28,"182.0","http://dbpedia.org/resource/Defender_(association_football)"
"http://dbpedia.org/resource/Almamy_Touré","1996-4-28","182.0","http://dbpedia.org/resource/Defender_(association_football)"
"http://dbpedia.org/resource/Amadou_Touré",1982-09-27,"177.0","http://dbpedia.org/resource/Defender_(football)"
"http://dbpedia.org/resource/Amadou_Touré","1982-9-27","177.0","http://dbpedia.org/resource/Defender_(football)"
"http://dbpedia.org/resource/Andreas_Laudrup",1990-11-10,"175.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Anton_Beketov",1989-06-23,"186.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Anton_Beketov","1989-6-23","186.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Apostol_Popov",1982-12-22,"184.0","http://dbpedia.org/resource/Defender_(association_football)"
"http://dbpedia.org/resource/Artyom_Beketov",1984-06-12,"177.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Artyom_Beketov","1984-6-12","177.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Assimiou_Touré",1988-01-01,"180.0","http://dbpedia.org/resource/Defender_(association_football)"
"http://dbpedia.org/resource/Assimiou_Touré","1988-1-1","180.0","http://dbpedia.org/resource/Defender_(association_football)"
"http://dbpedia.org/resource/Aurélien_Collin",1986-03-08,"188.0","http://dbpedia.org/resource/Defender_(association_football)"
"http://dbpedia.org/resource/Aurélien_Collin","1986-3-8","188.0","http://dbpedia.org/resource/Defender_(association_football)"
"http://dbpedia.org/resource/Barry_Miller_(footballer)",1976-03-29,"182.88","http://dbpedia.org/resource/Defender_(association_football)"
"http://dbpedia.org/resource/Barry_Miller_(footballer)","1976-3-29","182.88","http://dbpedia.org/resource/Defender_(association_football)"
"http://dbpedia.org/resource/Bassala_Touré",1976-02-21,"171.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Bassala_Touré","1976-2-21","171.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Benito_Raman",1994-11-07,"172.0","http://dbpedia.org/resource/Forward_(association_football)"
"http://dbpedia.org/resource/Benito_Raman","1994-11-7","172.0","http://dbpedia.org/resource/Forward_(association_football)"
"http://dbpedia.org/resource/Bohdan_Kohut",1987-10-10,"190.0","http://dbpedia.org/resource/Goalkeeper_(association_football)"
"http://dbpedia.org/resource/Boris_Kabi",1984-12-12,"183.0","http://dbpedia.org/resource/Forward_(association_football)"
"http://dbpedia.org/resource/Boris_Kabi","1981-7-2","183.0","http://dbpedia.org/resource/Forward_(association_football)"
"http://dbpedia.org/resource/Brad_Smith_(Scottish_footballer)",1997-04-23,"182.88","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Brad_Smith_(Scottish_footballer)","1997-4-23","182.88","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Brad_Smith_(footballer,_born_1994)",1994-04-09,"178.0","http://dbpedia.org/resource/Left_back"
"http://dbpedia.org/resource/Brad_Smith_(footballer,_born_1994)","1994-4-9","178.0","http://dbpedia.org/resource/Left_back"
"http://dbpedia.org/resource/Brad_Smith_(soccer)",1965-03-15,"175.26","http://dbpedia.org/resource/Striker_(association_football)"
"http://dbpedia.org/resource/Brad_Smith_(soccer)","1965-3-15","175.26","http://dbpedia.org/resource/Striker_(association_football)"
"http://dbpedia.org/resource/Carlos_Alvarez_(soccer)",1990-11-12,"178.0","http://dbpedia.org/resource/Midfielder"
"http://dbpedia.org/resource/Cem_Atan",1985-06-30,"184.0","http://dbpedia.org/resource/Midfielder"
